run_at,model,postprocess,mean_mae,std_mae,submission_path,exp_id,feature_version,pred_std_oof,pred_min_oof,pred_max_oof,notes
,xgboost_ohe_v2,clip_0_1,0.2219958043965697,0.0029589181522475,,v2_20260617_010925,v2_scorecard_interactions,0.1015465650177889,0.0882223770022392,0.949494242668152,XGBoost with OHE plus scorecard bins and interactions
,catboost_native_v2,clip_0_1_round2,0.2254566666666666,0.0031681487759678,,v2_20260617_010925,v2_scorecard_interactions,0.0943997424279156,0.13,0.82,Native CatBoost categorical handling; no OneHotEncoder
,catboost_native_v2,raw,0.2255147072342561,0.0032639165879269,,v2_20260617_010925,v2_scorecard_interactions,0.0943437619561618,0.131846360638663,0.8184176548770958,Native CatBoost categorical handling; no OneHotEncoder
,catboost_native_v2,clip_0_1,0.2255147072342561,0.0032639165879269,,v2_20260617_010925,v2_scorecard_interactions,0.0943437619561618,0.131846360638663,0.8184176548770958,Native CatBoost categorical handling; no OneHotEncoder
,ridge_ohe_v2,clip_0_1_round2,0.2435733333333333,0.0021156690562457,,v2_20260617_010925,v2_scorecard_interactions,0.0798564032327275,0.16,0.88,Ridge with OHE plus scorecard bins and interactions
,ridge_ohe_v2,raw,0.2435799429480884,0.0020240212644404,,v2_20260617_010925,v2_scorecard_interactions,0.0798015601041478,0.1599637724245954,0.8762226803784918,Ridge with OHE plus scorecard bins and interactions
,ridge_ohe_v2,clip_0_1,0.2435799429480884,0.0020240212644404,,v2_20260617_010925,v2_scorecard_interactions,0.0798015601041478,0.1599637724245954,0.8762226803784918,Ridge with OHE plus scorecard bins and interactions
,extratrees_v3_leaf1,none,0.1800298133333332,0.0063079073762994,,v3_20260617_012943,v3_mwcat_calibrated_extratrees,0.175965857448299,0.0,1.0,"ExtraTrees v3, leaf=1, max_features=0.8; fold-safe OOF calibration"
,extratrees_v3_leaf1,clip_0_1,0.1800298133333332,0.0063079073762994,,v3_20260617_012943,v3_mwcat_calibrated_extratrees,0.175965857448299,0.0,1.0,"ExtraTrees v3, leaf=1, max_features=0.8; fold-safe OOF calibration"
,extratrees_v3_leaf1,huber,0.1801894390686187,0.005975897416675,,v3_20260617_012943,v3_mwcat_calibrated_extratrees,0.1773985933185637,0.0,1.0,"ExtraTrees v3, leaf=1, max_features=0.8; fold-safe OOF calibration"
,extratrees_v3_leaf1,qbin_median_30,0.183525,0.0059089033575519,,v3_20260617_012943,v3_mwcat_calibrated_extratrees,0.1849133515453895,0.045,0.925,"ExtraTrees v3, leaf=1, max_features=0.8; fold-safe OOF calibration"
,extratrees_v3_leaf1,qbin_median_20,0.1842483333333333,0.0056952172917282,,v3_20260617_012943,v3_mwcat_calibrated_extratrees,0.1857386802134721,0.075,0.9,"ExtraTrees v3, leaf=1, max_features=0.8; fold-safe OOF calibration"
,extratrees_v3_leaf1,isotonic,0.1862534719140211,0.0040109371123072,,v3_20260617_012943,v3_mwcat_calibrated_extratrees,0.1617508009919657,0.0,1.0,"ExtraTrees v3, leaf=1, max_features=0.8; fold-safe OOF calibration"
,extratrees_v3_leaf1,clip_0_1_round2,0.17986,0.0063079073762994,,v3_20260617_012943,v3_mwcat_calibrated_extratrees,0.175965857448299,0.0,1.0,"ExtraTrees v3, leaf=1, max_features=0.8; fold-safe OOF calibration; round(2) improved CV"
,extratrees_v4_mf07_n1000,clip_0_1_round2,0.1856633333333333,0.0036764906273963,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1608838127357755,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_ensemble_extratrees_v4_mf07_n1000,clip_0_1_round2,0.1857633333333333,0.0036177494538885,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1605948257413892,0.0,1.0,"Multi-seed ensemble [42, 2024, 777, 1004, 2026]; target encoding"
,extratrees_v4_mf07_n1000,clip_0_1,0.1858058133333333,0.00362919005131,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1606339729738324,0.00024,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf06_n1500,clip_0_1_round2,0.1858133333333333,0.0036701763505919,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1596405958045505,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_ensemble_extratrees_v4_mf07_n1000,clip_0_1,0.1858164293333332,0.003623587803211,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1603877437421471,0.000514,0.999778,"Multi-seed ensemble [42, 2024, 777, 1004, 2026]; target encoding"
,extratrees_v4_mf07_n1500,clip_0_1_round2,0.1858233333333333,0.0037553591335879,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.160811966064334,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf07_n1500,clip_0_1,0.1859133111111109,0.0037335146971406,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.160544870194457,0.0001866666666666,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf06_n1000,clip_0_1_round2,0.1859266666666666,0.0037283188049187,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1597172323141726,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf06_n1500,clip_0_1,0.1859539599999998,0.0036149206775409,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1595146163737376,0.0004866666666666,1.0,ExtraTrees leaf1 tuning; target encoding
,extratrees_v4_mf08_n1500,clip_0_1_round2,0.1859666666666666,0.0037545157995258,,v4_20260617_014419,v4_leaf1_target_encoding_ensemble,0.1620057507517797,0.0,1.0,ExtraTrees leaf1 tuning; target encoding
