exp_id,model,scaler,n_splits,fold,postprocess,mae
v7_20260617_181613,mlp_small_lbfgs,standard,5,5,clip_0_1,0.224973743873422
v7_20260617_181613,mlp_small_lbfgs,standard,5,5,clip_0_1_round2,0.22491666666666665
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,1,raw,0.235562126784886
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,1,clip_0_1,0.235562126784886
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,1,clip_0_1_round2,0.23528333333333332
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,2,raw,0.24386780065915975
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,2,clip_0_1,0.24386780065915975
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,2,clip_0_1_round2,0.24383333333333335
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,3,raw,0.21783994242677276
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,3,clip_0_1,0.2174512345175497
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,3,clip_0_1_round2,0.21725
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,4,raw,0.24297218000939447
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,4,clip_0_1,0.24297218000939447
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,4,clip_0_1_round2,0.24280000000000002
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,5,raw,0.23235734442926154
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,5,clip_0_1,0.23235734442926154
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,5,clip_0_1_round2,0.2326
