exp_id,variable,value,pred_mean,pred_std,notes
v55_20260617_142824,bone_density,0.51,0.4744608476190494,0.15796274461018583,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,0.63,0.4743160027777795,0.1591187164365946,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,0.77,0.4751405053968271,0.16052543571434846,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,0.89,0.47652561174603353,0.16158057564197648,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,1.0,0.4769092458730176,0.16168967759211103,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,1.11,0.47619249150793835,0.16103977668081806,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,1.23,0.4753697823809541,0.15992742340220437,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,1.35,0.4758927236507954,0.15766684108227505,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,1.48,0.4750378351587318,0.15442594006773808,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,1.62,0.4812797534127001,0.14967768772137569,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,sleep_pattern,sleep difficulty,0.48253224325397004,0.1493199375923687,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,sleep_pattern,normal,0.47787450476190657,0.16323256565796715,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,sleep_pattern,oversleeping,0.46792967976190647,0.1440676125967124,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,activity,moderate,0.47651768825397,0.1636703321864387,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,activity,light,0.47584529333333514,0.1546257941913911,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,activity,intense,0.48117815134920816,0.15177189439586675,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,smoke_status,ex-smoker,0.47077469198412875,0.12414683397090782,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,smoke_status,non-smoker,0.48797431396825564,0.12245484269830927,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,smoke_status,current-smoker,0.4766284425396846,0.11401600673971501,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,medical_history,high blood pressure,0.4905196531746052,0.1147665396651845,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,medical_history,Unknown,0.4701678107936521,0.12309847580803392,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,medical_history,diabetes,0.4836822969841293,0.10850791021885027,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,medical_history,heart disease,0.49796227619047834,0.10612358199547269,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,family_medical_history,diabetes,0.48706731507936685,0.12932683052186245,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,family_medical_history,Unknown,0.48292500539682714,0.147184409280418,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,family_medical_history,high blood pressure,0.4816351745238116,0.122697967810249,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,family_medical_history,heart disease,0.4724606896825415,0.1325620790708958,Surrogate PDP-style effect shape for RBF prediction.
