exp_id,group_col,fold,group_value,fit_offset100
v81_20260618_103517,medical_history,1,heart disease,-1.4366812227074235
v81_20260618_103517,medical_history,1,high blood pressure,1.655608214849921
v81_20260618_103517,medical_history,2,diabetes,1.4364035087719298
v81_20260618_103517,medical_history,2,heart disease,-1.2570806100217864
v81_20260618_103517,medical_history,2,high blood pressure,1.0418679549114331
v81_20260618_103517,medical_history,3,diabetes,2.1651982378854626
v81_20260618_103517,medical_history,3,heart disease,-0.9477124183006536
v81_20260618_103517,medical_history,3,high blood pressure,1.2073365231259967
v81_20260618_103517,medical_history,4,diabetes,1.4610389610389611
v81_20260618_103517,medical_history,4,heart disease,-0.8183856502242154
v81_20260618_103517,medical_history,4,high blood pressure,1.3333333333333333
v81_20260618_103517,medical_history,5,diabetes,2.006637168141593
v81_20260618_103517,medical_history,5,heart disease,-0.6158940397350994
v81_20260618_103517,medical_history,5,high blood pressure,1.3996763754045307
v81_20260618_103517,medical_history,6,diabetes,1.5
v81_20260618_103517,medical_history,6,heart disease,-1.522875816993464
v81_20260618_103517,medical_history,6,high blood pressure,1.518578352180937
v81_20260618_103517,medical_history,7,diabetes,2.1101321585903086
v81_20260618_103517,medical_history,7,heart disease,-1.1543478260869566
v81_20260618_103517,medical_history,7,high blood pressure,0.9198113207547169
v81_20260618_103517,medical_history,8,diabetes,2.0995475113122173
v81_20260618_103517,medical_history,8,heart disease,-1.3083511777301928
v81_20260618_103517,medical_history,8,high blood pressure,1.626984126984127
v81_20260618_103517,medical_history,9,diabetes,2.2962962962962963
v81_20260618_103517,medical_history,9,heart disease,-1.2813852813852813
v81_20260618_103517,medical_history,9,high blood pressure,1.465818759936407
v81_20260618_103517,medical_history,10,diabetes,1.3439490445859872
v81_20260618_103517,medical_history,10,heart disease,-1.153674832962138
v81_20260618_103517,medical_history,10,high blood pressure,0.5544871794871795
v81_20260618_103517,family_medical_history,1,diabetes,0.04710144927536235
v81_20260618_103517,family_medical_history,1,heart disease,1.1984334203655354
v81_20260618_103517,family_medical_history,1,high blood pressure,1.3341121495327102
v81_20260618_103517,family_medical_history,2,diabetes,-0.021739130434782584
v81_20260618_103517,family_medical_history,2,heart disease,1.7093333333333334
v81_20260618_103517,family_medical_history,2,high blood pressure,1.24009324009324
v81_20260618_103517,family_medical_history,3,diabetes,0.37614678899082576
v81_20260618_103517,family_medical_history,3,heart disease,1.3643410852713178
v81_20260618_103517,family_medical_history,3,high blood pressure,1.6178489702517163
v81_20260618_103517,family_medical_history,4,diabetes,0.39928057553956836
v81_20260618_103517,family_medical_history,4,heart disease,1.9222520107238605
v81_20260618_103517,family_medical_history,4,high blood pressure,1.2591743119266054
v81_20260618_103517,family_medical_history,5,diabetes,0.36889692585895123
v81_20260618_103517,family_medical_history,5,heart disease,1.6180371352785146
v81_20260618_103517,family_medical_history,5,high blood pressure,1.8089622641509433
v81_20260618_103517,family_medical_history,6,diabetes,0.42105263157894735
v81_20260618_103517,family_medical_history,6,heart disease,1.1036269430051813
v81_20260618_103517,family_medical_history,6,high blood pressure,1.2629107981220657
v81_20260618_103517,family_medical_history,7,diabetes,0.4089285714285714
v81_20260618_103517,family_medical_history,7,heart disease,1.0324324324324323
v81_20260618_103517,family_medical_history,7,high blood pressure,1.2545871559633028
v81_20260618_103517,family_medical_history,8,diabetes,0.2558139534883721
v81_20260618_103517,family_medical_history,8,heart disease,2.128342245989305
v81_20260618_103517,family_medical_history,8,high blood pressure,1.3356481481481481
v81_20260618_103517,family_medical_history,9,diabetes,0.7992831541218638
v81_20260618_103517,family_medical_history,9,heart disease,1.2819148936170213
v81_20260618_103517,family_medical_history,9,high blood pressure,1.8901601830663615
v81_20260618_103517,family_medical_history,10,diabetes,-0.366120218579235
v81_20260618_103517,family_medical_history,10,heart disease,1.2864864864864864
v81_20260618_103517,family_medical_history,10,high blood pressure,1.1839080459770115
v81_20260618_103517,edu_level,1,bachelors degree,-0.3829787234042554
v81_20260618_103517,edu_level,1,graduate degree,1.137218045112782
v81_20260618_103517,edu_level,1,high school diploma,0.4609756097560976
v81_20260618_103517,edu_level,2,bachelors degree,-0.20230473751600517
v81_20260618_103517,edu_level,2,graduate degree,0.5066162570888469
v81_20260618_103517,edu_level,2,high school diploma,0.3337349397590361
v81_20260618_103517,edu_level,3,bachelors degree,-0.0012578616352201437
v81_20260618_103517,edu_level,3,graduate degree,1.5733590733590734
v81_20260618_103517,edu_level,3,high school diploma,0.09058402860548276
v81_20260618_103517,edu_level,4,bachelors degree,-0.19293820933165196
v81_20260618_103517,edu_level,4,graduate degree,0.9682242990654205
v81_20260618_103517,edu_level,4,high school diploma,0.3927710843373494
v81_20260618_103517,edu_level,5,bachelors degree,-0.2222222222222223
v81_20260618_103517,edu_level,5,graduate degree,1.0733082706766917
