exp_id,hypothesis_group,feature_set,model,target_mode,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,notes
v5_20260617_030349,C_boosting,S3_mean_working_score,catboost,raw,clip_0_1,0.21648000033658152,0.009685394171163713,0.47233515406618215,0.10475999819291204,0.10379912805317226,0.9669708447452547,kfold; unscaled; sparse-ok
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,knn,raw,clip_0_1,0.21723248670045064,0.00589092901314437,0.47511406312338317,0.09627642291978346,0.06624639771480434,0.96,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,knn,raw,raw,0.21723248670045064,0.00589092901314437,0.47511406312338317,0.09627642291978346,0.06624639771480434,0.96,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,knn,raw,clip_0_1_round2,0.21724000000000002,0.0059175361906710095,0.47513000000000005,0.0962625156744548,0.07,0.96,kfold; scaled; dense
v5_20260617_030349,C_boosting,S3_mean_working_score,xgboost,raw,clip_0_1_round2,0.22260666666666667,0.009273442766348472,0.47773000000000004,0.09761483827890821,0.07,0.94,kfold; unscaled; sparse-ok
v5_20260617_030349,C_boosting,S3_mean_working_score,xgboost,raw,clip_0_1,0.2226452204968532,0.009319942310315351,0.4777438500523567,0.09753112702935235,0.06661403924226761,0.9388747811317444,kfold; unscaled; sparse-ok
v5_20260617_030349,C_boosting,S3_mean_working_score,xgboost,raw,raw,0.2226452204968532,0.009319942310315351,0.4777438500523567,0.09753112702935235,0.06661403924226761,0.9388747811317444,kfold; unscaled; sparse-ok
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,kernelridge_rbf,raw,clip_0_1_round2,0.22950000000000004,0.0070686056040201485,0.47195,0.10088057194821443,0.11,0.86,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,kernelridge_rbf,raw,clip_0_1,0.2295944368270269,0.0070182397743525984,0.4719559830489803,0.10084965500566691,0.11387984413753571,0.8594333243116234,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,kernelridge_rbf,raw,raw,0.2295944368270269,0.0070182397743525984,0.4719559830489803,0.10084965500566691,0.11387984413753571,0.8594333243116234,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,kernelridge_rbf,quantile_target,raw,0.23112274527948581,0.010524677805483603,0.4727886053563296,0.14003067785767986,0.09,0.96,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,kernelridge_rbf,quantile_target,clip_0_1,0.23112274527948581,0.010524677805483603,0.4727886053563296,0.14003067785767986,0.09,0.96,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,kernelridge_rbf,quantile_target,clip_0_1_round2,0.23114666666666667,0.01052940855150206,0.47279,0.14003494502662375,0.09,0.96,kfold; scaled; dense
