C,gamma,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max
4.5,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
6.0,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
8.0,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
2.0,0.75,0.13440333333333335,0.008105332035605168,0.4765933333333334,0.19782583574672163,0.0,1.0
1.0,0.75,0.13440333333333335,0.008133294626501702,0.47660666666666673,0.19784678909589498,0.0,1.0
3.0,0.75,0.13440666666666665,0.008108428780223121,0.47659666666666667,0.1978256403727507,0.0,1.0
3.5,0.75,0.13440666666666665,0.008108428780223121,0.47659666666666667,0.1978256403727507,0.0,1.0
3.96,0.75,0.13440666666666665,0.008108428780223121,0.47659666666666667,0.1978256403727507,0.0,1.0
4.0,0.75,0.13440666666666665,0.008108428780223121,0.47659666666666667,0.1978256403727507,0.0,1.0
4.5,0.75,0.13440666666666665,0.008108428780223121,0.47659666666666667,0.1978256403727507,0.0,1.0
6.0,0.75,0.13440666666666665,0.008108428780223121,0.47659666666666667,0.1978256403727507,0.0,1.0
8.0,0.75,0.13440666666666665,0.008108428780223121,0.47659666666666667,0.1978256403727507,0.0,1.0
1.0,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
2.0,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
3.0,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
3.5,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
3.96,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
4.0,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
4.5,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
6.0,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
8.0,1.5,0.13442,0.007992545909999938,0.47713666666666676,0.19556371848808993,0.0,1.0
1.0,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
2.0,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
3.0,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
3.5,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
3.96,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
4.0,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
4.5,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
6.0,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
8.0,2.0,0.13485999999999998,0.007962051972006863,0.4772633333333333,0.1947241056526444,0.0,1.0
2.0,0.5,0.13579666666666665,0.008664821028549291,0.47657333333333335,0.20230041511463973,0.0,1.0
3.5,0.5,0.13579666666666668,0.008671073665845457,0.4765866666666667,0.20226834277486158,0.0,1.0
3.0,0.5,0.13579666666666668,0.008682385318264495,0.4766000000000001,0.20228636467476827,0.0,1.0
8.0,0.5,0.1358066666666667,0.008683982701246911,0.47657666666666665,0.20230203687116505,0.0,1.0
4.0,0.5,0.13581666666666667,0.008687215667253965,0.4765733333333333,0.20229481280766665,0.0,1.0
4.5,0.5,0.13582333333333335,0.008671409670809725,0.4765933333333334,0.20231492272087975,0.0,1.0
3.96,0.5,0.13583,0.00868215780768415,0.47658666666666666,0.20229536777252766,0.0,1.0
6.0,0.5,0.13583333333333333,0.008676404785393556,0.47659666666666667,0.2023025390899042,0.0,1.0
1.0,0.5,0.13598333333333334,0.008789573649402537,0.47654,0.20197680163820791,0.0,1.0
